,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ExpirationDate
0,AAPL240920P00005000,2024-01-12 14:30:19+00:00,5.0,0.01,0.0,0.03,0.0,0.0,,1,1.671876640625,False,REGULAR,USD,2024-09-20
1,AAPL240920P00010000,2024-01-09 14:30:00+00:00,10.0,0.01,0.0,0.0,0.0,0.0,,1,0.500005,False,REGULAR,USD,2024-09-20
2,AAPL240920P00015000,2024-03-05 14:30:10+00:00,15.0,0.01,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,2024-09-20
3,AAPL240920P00020000,2024-03-11 15:34:14+00:00,20.0,0.01,0.0,0.0,0.0,0.0,100.0,0,0.500005,False,REGULAR,USD,2024-09-20
4,AAPL240920P00025000,2024-02-01 20:21:54+00:00,25.0,0.01,0.0,0.03,0.0,0.0,,100,0.8906260937499999,False,REGULAR,USD,2024-09-20
5,AAPL240920P00030000,2024-02-09 16:15:36+00:00,30.0,0.01,0.0,0.07,0.0,0.0,20.0,90,0.867188828125,False,REGULAR,USD,2024-09-20
6,AAPL240920P00035000,2024-02-27 17:57:46+00:00,35.0,0.01,0.0,0.0,0.0,0.0,20.0,0,0.500005,False,REGULAR,USD,2024-09-20
7,AAPL240920P00040000,2024-03-01 19:11:48+00:00,40.0,0.01,0.0,0.0,0.0,0.0,30.0,0,0.500005,False,REGULAR,USD,2024-09-20
8,AAPL240920P00045000,2024-03-05 16:11:07+00:00,45.0,0.01,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,2024-09-20
9,AAPL240920P00050000,2024-02-22 14:30:08+00:00,50.0,0.02,0.0,0.0,0.0,0.0,77.0,0,0.2500075,False,REGULAR,USD,2024-09-20
10,AAPL240920P00055000,2024-02-20 20:42:37+00:00,55.0,0.03,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD,2024-09-20
11,AAPL240920P00060000,2024-03-12 15:02:34+00:00,60.0,0.03,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD,2024-09-20
12,AAPL240920P00065000,2024-02-22 19:14:20+00:00,65.0,0.06,0.0,0.0,0.0,0.0,2.0,0,0.2500075,False,REGULAR,USD,2024-09-20
13,AAPL240920P00070000,2024-03-05 15:03:36+00:00,70.0,0.07,0.0,0.0,0.0,0.0,54.0,0,0.2500075,False,REGULAR,USD,2024-09-20
14,AAPL240920P00075000,2024-03-11 18:55:51+00:00,75.0,0.07,0.0,0.0,0.0,0.0,70.0,0,0.2500075,False,REGULAR,USD,2024-09-20
15,AAPL240920P00080000,2024-03-08 20:32:46+00:00,80.0,0.14,0.0,0.0,0.0,0.0,51.0,0,0.2500075,False,REGULAR,USD,2024-09-20
16,AAPL240920P00085000,2024-03-12 19:12:31+00:00,85.0,0.11,0.0,0.0,0.0,0.0,60.0,0,0.2500075,False,REGULAR,USD,2024-09-20
17,AAPL240920P00090000,2024-03-05 14:36:43+00:00,90.0,0.18,0.0,0.0,0.0,0.0,2.0,0,0.2500075,False,REGULAR,USD,2024-09-20
18,AAPL240920P00095000,2024-03-12 14:09:37+00:00,95.0,0.16,0.0,0.0,0.0,0.0,1.0,0,0.12500875,False,REGULAR,USD,2024-09-20
19,AAPL240920P00100000,2024-03-11 14:49:51+00:00,100.0,0.26,0.0,0.0,0.0,0.0,1.0,0,0.12500875,False,REGULAR,USD,2024-09-20
20,AAPL240920P00105000,2024-03-12 13:54:28+00:00,105.0,0.31,0.0,0.0,0.0,0.0,3.0,0,0.12500875,False,REGULAR,USD,2024-09-20
21,AAPL240920P00110000,2024-03-08 15:28:07+00:00,110.0,0.41,0.0,0.0,0.0,0.0,30.0,0,0.12500875,False,REGULAR,USD,2024-09-20
22,AAPL240920P00115000,2024-03-12 15:36:13+00:00,115.0,0.45,0.0,0.0,0.0,0.0,21.0,0,0.12500875,False,REGULAR,USD,2024-09-20
23,AAPL240920P00120000,2024-03-11 16:44:39+00:00,120.0,0.62,0.0,0.0,0.0,0.0,2.0,0,0.12500875,False,REGULAR,USD,2024-09-20
24,AAPL240920P00125000,2024-03-12 17:10:13+00:00,125.0,0.73,0.0,0.0,0.0,0.0,1.0,0,0.12500875,False,REGULAR,USD,2024-09-20
25,AAPL240920P00130000,2024-03-12 19:15:51+00:00,130.0,0.93,0.0,0.0,0.0,0.0,22.0,0,0.062509375,False,REGULAR,USD,2024-09-20
26,AAPL240920P00135000,2024-03-12 19:40:47+00:00,135.0,1.23,0.0,0.0,0.0,0.0,11.0,0,0.062509375,False,REGULAR,USD,2024-09-20
27,AAPL240920P00140000,2024-03-12 17:34:41+00:00,140.0,1.66,0.0,0.0,0.0,0.0,13.0,0,0.062509375,False,REGULAR,USD,2024-09-20
28,AAPL240920P00145000,2024-03-12 19:40:47+00:00,145.0,2.14,0.0,0.0,0.0,0.0,106.0,0,0.062509375,False,REGULAR,USD,2024-09-20
29,AAPL240920P00150000,2024-03-12 19:59:10+00:00,150.0,2.88,0.0,0.0,0.0,0.0,365.0,0,0.0312596875,False,REGULAR,USD,2024-09-20
30,AAPL240920P00155000,2024-03-12 18:47:11+00:00,155.0,3.75,0.0,0.0,0.0,0.0,1463.0,0,0.0312596875,False,REGULAR,USD,2024-09-20
31,AAPL240920P00160000,2024-03-12 19:27:02+00:00,160.0,4.75,0.0,0.0,0.0,0.0,154.0,0,0.0312596875,False,REGULAR,USD,2024-09-20
32,AAPL240920P00165000,2024-03-12 19:48:18+00:00,165.0,6.2,0.0,0.0,0.0,0.0,210.0,0,0.015634843750000002,False,REGULAR,USD,2024-09-20
33,AAPL240920P00170000,2024-03-12 19:44:29+00:00,170.0,7.95,0.0,0.0,0.0,0.0,425.0,0,0.007822421875,False,REGULAR,USD,2024-09-20
34,AAPL240920P00175000,2024-03-12 19:58:08+00:00,175.0,10.35,0.0,0.0,0.0,0.0,236.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-09-20
35,AAPL240920P00180000,2024-03-12 19:54:51+00:00,180.0,12.64,0.0,0.0,0.0,0.0,67.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-09-20
36,AAPL240920P00185000,2024-03-12 14:13:57+00:00,185.0,16.42,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-09-20
37,AAPL240920P00190000,2024-03-12 18:01:51+00:00,190.0,19.09,0.0,0.0,0.0,0.0,6.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-09-20
38,AAPL240920P00195000,2024-03-12 19:22:33+00:00,195.0,22.35,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-09-20
39,AAPL240920P00200000,2024-03-12 16:45:24+00:00,200.0,28.1,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-09-20
40,AAPL240920P00205000,2024-03-08 15:35:00+00:00,205.0,33.6,0.0,0.0,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-09-20
41,AAPL240920P00210000,2024-03-12 18:47:19+00:00,210.0,36.66,0.0,0.0,0.0,0.0,130.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-09-20
42,AAPL240920P00215000,2024-03-07 20:00:48+00:00,215.0,44.85,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-09-20
43,AAPL240920P00220000,2024-02-22 20:04:04+00:00,220.0,35.79,0.0,0.0,0.0,0.0,209.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-09-20
44,AAPL240920P00225000,2023-12-05 16:16:03+00:00,225.0,31.55,43.35,44.85,0.0,0.0,6.0,1,1.0000000000000003e-05,True,REGULAR,USD,2024-09-20
45,AAPL240920P00230000,2024-01-10 18:01:34+00:00,230.0,45.62,40.85,41.55,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-09-20
46,AAPL240920P00235000,2023-12-18 20:09:55+00:00,235.0,38.75,47.5,48.9,0.0,0.0,8.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-09-20
47,AAPL240920P00240000,2023-12-15 20:27:30+00:00,240.0,41.87,52.6,55.7,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-09-20
48,AAPL240920P00245000,2023-11-13 17:02:40+00:00,245.0,60.23,46.45,47.95,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-09-20
49,AAPL240920P00250000,2024-02-13 16:17:43+00:00,250.0,64.4,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-09-20
50,AAPL240920P00255000,2024-01-10 20:34:42+00:00,255.0,69.09,65.8,66.7,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-09-20
51,AAPL240920P00260000,2023-06-01 16:16:30+00:00,260.0,79.97,64.1,68.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,2024-09-20
52,AAPL240920P00265000,2023-08-04 15:14:07+00:00,265.0,79.91,73.65,77.45,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-09-20
53,AAPL240920P00270000,2023-12-15 20:27:30+00:00,270.0,71.91,82.55,85.65,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-09-20
54,AAPL240920P00280000,2023-09-06 17:45:19+00:00,280.0,96.59,101.0,103.5,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-09-20
55,AAPL240920P00290000,2023-07-24 15:14:49+00:00,290.0,96.33,107.65,110.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,2024-09-20
56,AAPL240920P00300000,2024-01-10 18:01:58+00:00,300.0,115.72,110.8,111.5,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-09-20
57,AAPL240920P00310000,2024-01-10 18:01:34+00:00,310.0,125.64,120.8,121.55,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-09-20
